frame,slot,x,y,age,active
47,4,0.066533,0.153059,28,1
47,5,0.066533,-0.153059,28,1
48,0,1.123318,0.032727,48,0
48,1,1.123318,-0.032727,48,0
48,2,0.648485,0.226736,39,1
48,3,0.648485,-0.226736,39,1
48,4,0.104464,0.150771,29,1
48,5,0.104464,-0.150771,29,1
49,0,1.123318,0.032727,48,0
49,1,1.123318,-0.032727,48,0
49,2,0.686484,0.226382,40,1
49,3,0.686484,-0.226382,40,1
49,4,0.142412,0.152762,30,1
49,5,0.142412,-0.152762,30,1
50,0,1.123318,0.032727,48,0
50,1,1.123318,-0.032727,48,0
50,2,0.724151,0.221368,41,1
50,3,0.724151,-0.221368,41,1
50,4,0.179950,0.158666,31,1
50,5,0.179950,-0.158666,31,1
51,0,1.123318,0.032727,48,0
51,1,1.123318,-0.032727,48,0
51,2,0.760932,0.211821,42,1
51,3,0.760932,-0.211821,42,1
51,4,0.216802,0.167937,32,1
51,5,0.216802,-0.167937,32,1
52,0,1.123318,0.032727,48,0
52,1,1.123318,-0.032727,48,0
52,2,0.796313,0.197956,43,1
52,3,0.796313,-0.197956,43,1
52,4,0.252866,0.179911,33,1
52,5,0.252866,-0.179911,33,1
53,0,1.123318,0.032727,48,0
53,1,1.123318,-0.032727,48,0
53,2,0.829880,0.180145,44,1
53,3,0.829880,-0.180145,44,1
53,4,0.288222,0.193837,34,1
53,5,0.288222,-0.193837,34,1
54,0,1.123318,0.032727,48,0
54,1,1.123318,-0.032727,48,0
54,2,0.861730,0.159419,45,1
54,3,0.861730,-0.159419,45,1
54,4,0.323119,0.208879,35,1
54,5,0.323119,-0.208879,35,1
55,0,1.123318,0.032727,48,0
55,1,1.123318,-0.032727,48,0
55,2,0.892434,0.137030,46,1
55,3,0.892434,-0.137030,46,1
55,4,0.357942,0.224087,36,1
55,5,0.357942,-0.224087,36,1
56,0,1.123318,0.032727,48,0
56,1,1.123318,-0.032727,48,0
56,2,0.922876,0.114286,47,1
56,3,0.922876,-0.114286,47,1
56,4,0.393160,0.238360,37,1
56,5,0.393160,-0.238360,37,1
57,0,1.123318,0.032727,48,0
57,1,1.123318,-0.032727,48,0
57,2,0.953951,0.092415,48,1
57,3,0.953951,-0.092415,48,1
57,4,0.429185,0.250453,38,1
57,5,0.429185,-0.250453,38,1
58,0,1.123318,0.032727,48,0
58,1,1.123318,-0.032727,48,0
58,2,0.986274,0.072434,49,1
58,3,0.986274,-0.072434,49,1
58,4,0.466175,0.259152,39,1
58,5,0.466175,-0.259152,39,1
59,0,1.123318,0.032727,48,0
59,1,1.123318,-0.032727,48,0
59,2,1.020025,0.054974,50,1
59,3,1.020025,-0.054974,50,1
59,4,0.503922,0.263534,40,1
59,5,0.503922,-0.263534,40,1
60,0,1.123318,0.032727,48,0
60,1,1.123318,-0.032727,48,0
60,2,1.054960,0.040023,51,1
60,3,1.054960,-0.040023,51,1
60,4,0.541919,0.263104,41,1
60,5,0.541919,-0.263104,41,1
61,0,1.123318,0.032727,48,0
61,1,1.123318,-0.032727,48,0
61,2,1.090834,0.027490,52,1
61,3,1.090834,-0.027490,52,1
61,4,0.579543,0.257766,42,1
61,5,0.579543,-0.257766,42,1
62,0,1.123318,0.032727,48,0
62,1,1.123318,-0.032727,48,0
62,2,1.127399,0.017145,53,0
62,3,1.127399,-0.017145,53,0
62,4,0.616198,0.247745,43,1
62,5,0.616198,-0.247745,43,1
63,0,1.123318,0.032727,48,0
63,1,1.123318,-0.032727,48,0
63,2,1.127399,0.017145,53,0
63,3,1.127399,-0.017145,53,0
63,4,0.651429,0.233506,44,1
63,5,0.651429,-0.233506,44,1
64,0,1.123318,0.032727,48,0
64,1,1.123318,-0.032727,48,0
64,2,1.127399,0.017145,53,0
64,3,1.127399,-0.017145,53,0
64,4,0.684989,0.215682,45,1
64,5,0.684989,-0.215682,45,1
65,0,1.123318,0.032727,48,0
65,1,1.123318,-0.032727,48,0
65,2,1.127399,0.017145,53,0
65,3,1.127399,-0.017145,53,0
65,4,0.716872,0.195005,46,1
65,5,0.716872,-0.195005,46,1
66,0,1.123318,0.032727,48,0
66,1,1.123318,-0.032727,48,0
66,2,1.127399,0.017145,53,0
66,3,1.127399,-0.017145,53,0
66,4,0.747313,0.172261,47,1
66,5,0.747313,-0.172261,47,1
67,0,1.123318,0.032727,48,0
67,1,1.123318,-0.032727,48,0
67,2,1.127399,0.017145,53,0
67,3,1.127399,-0.017145,53,0
67,4,0.776718,0.148192,48,1
67,5,0.776718,-0.148192,48,1
68,0,1.123318,0.032727,48,0
68,1,1.123318,-0.032727,48,0
68,2,1.127399,0.017145,53,0
68,3,1.127399,-0.017145,53,0
68,4,0.805757,0.123681,49,1
68,5,0.805757,-0.123681,49,1
69,0,1.123318,0.032727,48,0
69,1,1.123318,-0.032727,48,0
69,2,1.127399,0.017145,53,0
69,3,1.127399,-0.017145,53,0
69,4,0.835411,0.099919,50,1
69,5,0.835411,-0.099919,50,1
70,0,1.123318,0.032727,48,0
70,1,1.123318,-0.032727,48,0
70,2,1.127399,0.017145,53,0
70,3,1.127399,-0.017145,53,0
70,4,0.866439,0.077982,51,1
70,5,0.866439,-0.077982,51,1
71,0,1.123318,0.032727,48,0
71,1,1.123318,-0.032727,48,0
71,2,1.127399,0.017145,53,0
71,3,1.127399,-0.017145,53,0
71,4,0.899194,0.058717,52,1
71,5,0.899194,-0.058717,52,1
72,0,1.123318,0.032727,48,0
72,1,1.123318,-0.032727,48,0
72,2,1.127399,0.017145,53,0
72,3,1.127399,-0.017145,53,0
72,4,0.933613,0.042614,53,1
72,5,0.933613,-0.042614,53,1
73,0,1.123318,0.032727,48,0
73,1,1.123318,-0.032727,48,0
73,2,1.127399,0.017145,53,0
73,3,1.127399,-0.017145,53,0
73,4,0.969347,0.029686,54,1
73,5,0.969347,-0.029686,54,1
74,0,1.123318,0.032727,48,0
74,1,1.123318,-0.032727,48,0
74,2,1.127399,0.017145,53,0
74,3,1.127399,-0.017145,53,0
74,4,1.005934,0.019420,55,1
74,5,1.005934,-0.019420,55,1
75,0,1.123318,0.032727,48,0
75,1,1.123318,-0.032727,48,0
75,2,1.127399,0.017145,53,0
75,3,1.127399,-0.017145,53,0
75,4,1.043131,0.011652,56,1
75,5,1.043131,-0.011652,56,1
76,0,1.123318,0.032727,48,0
76,1,1.123318,-0.032727,48,0
76,2,1.127399,0.017145,53,0
76,3,1.127399,-0.017145,53,0
76,4,1.080747,0.006265,57,1
76,5,1.080747,-0.006265,57,1
77,0,1.123318,0.032727,48,0
77,1,1.123318,-0.032727,48,0
77,2,1.127399,0.017145,53,0
77,3,1.127399,-0.017145,53,0
77,4,1.118610,0.003035,58,0
77,5,1.118610,-0.003035,58,0
78,0,1.123318,0.032727,48,0
78,1,1.123318,-0.032727,48,0
78,2,1.127399,0.017145,53,0
78,3,1.127399,-0.017145,53,0
78,4,1.118610,0.003035,58,0
78,5,1.118610,-0.003035,58,0
79,0,1.123318,0.032727,48,0
79,1,1.123318,-0.032727,48,0
79,2,1.127399,0.017145,53,0
79,3,1.127399,-0.017145,53,0
79,4,1.118610,0.003035,58,0
79,5,1.118610,-0.003035,58,0
80,0,1.123318,0.032727,48,0
80,1,1.123318,-0.032727,48,0
80,2,1.127399,0.017145,53,0
80,3,1.127399,-0.017145,53,0
80,4,1.118610,0.003035,58,0
80,5,1.118610,-0.003035,58,0
81,0,1.123318,0.032727,48,0
81,1,1.123318,-0.032727,48,0
81,2,1.127399,0.017145,53,0
81,3,1.127399,-0.017145,53,0
81,4,1.118610,0.003035,58,0
81,5,1.118610,-0.003035,58,0
82,0,1.123318,0.032727,48,0
82,1,1.123318,-0.032727,48,0
82,2,1.127399,0.017145,53,0
82,3,1.127399,-0.017145,53,0
82,4,1.118610,0.003035,58,0
82,5,1.118610,-0.003035,58,0
83,0,1.123318,0.032727,48,0
83,1,1.123318,-0.032727,48,0
83,2,1.127399,0.017145,53,0
83,3,1.127399,-0.017145,53,0
83,4,1.118610,0.003035,58,0
83,5,1.118610,-0.003035,58,0
84,0,1.123318,0.032727,48,0
84,1,1.123318,-0.032727,48,0
84,2,1.127399,0.017145,53,0
84,3,1.127399,-0.017145,53,0
84,4,1.118610,0.003035,58,0
84,5,1.118610,-0.003035,58,0
85,0,1.123318,0.032727,48,0
85,1,1.123318,-0.032727,48,0
85,2,1.127399,0.017145,53,0
85,3,1.127399,-0.017145,53,0
85,4,1.118610,0.003035,58,0
85,5,1.118610,-0.003035,58,0
86,0,1.123318,0.032727,48,0
86,1,1.123318,-0.032727,48,0
86,2,1.127399,0.017145,53,0
86,3,1.127399,-0.017145,53,0
86,4,1.118610,0.003035,58,0
86,5,1.118610,-0.003035,58,0
87,0,1.123318,0.032727,48,0
87,1,1.123318,-0.032727,48,0
87,2,1.127399,0.017145,53,0
87,3,1.127399,-0.017145,53,0
87,4,1.118610,0.003035,58,0
87,5,1.118610,-0.003035,58,0
88,0,1.123318,0.032727,48,0
88,1,1.123318,-0.032727,48,0
88,2,1.127399,0.017145,53,0
88,3,1.127399,-0.017145,53,0
88,4,1.118610,0.003035,58,0
88,5,1.118610,-0.003035,58,0
89,0,1.123318,0.032727,48,0
89,1,1.123318,-0.032727,48,0
89,2,1.127399,0.017145,53,0
89,3,1.127399,-0.017145,53,0
89,4,1.118610,0.003035,58,0
89,5,1.118610,-0.003035,58,0
90,0,1.123318,0.032727,48,0
90,1,1.123318,-0.032727,48,0
90,2,1.127399,0.017145,53,0
90,3,1.127399,-0.017145,53,0
90,4,1.118610,0.003035,58,0
90,5,1.118610,-0.003035,58,0
91,0,1.123318,0.032727,48,0
91,1,1.123318,-0.032727,48,0
91,2,1.127399,0.017145,53,0
91,3,1.127399,-0.017145,53,0
91,4,1.118610,0.003035,58,0
91,5,1.118610,-0.003035,58,0
92,0,1.123318,0.032727,48,0
92,1,1.123318,-0.032727,48,0
92,2,1.127399,0.017145,53,0
92,3,1.127399,-0.017145,53,0
92,4,1.118610,0.003035,58,0
92,5,1.118610,-0.003035,58,0
93,0,1.123318,0.032727,48,0
93,1,1.123318,-0.032727,48,0
93,2,1.127399,0.017145,53,0
93,3,1.127399,-0.017145,53,0
93,4,1.118610,0.003035,58,0
93,5,1.118610,-0.003035,58,0
94,0,1.123318,0.032727,48,0
94,1,1.123318,-0.032727,48,0
94,2,1.127399,0.017145,53,0
94,3,1.127399,-0.017145,53,0
94,4,1.118610,0.003035,58,0
94,5,1.118610,-0.003035,58,0
95,0,1.123318,0.032727,48,0
95,1,1.123318,-0.032727,48,0
95,2,1.127399,0.017145,53,0
95,3,1.127399,-0.017145,53,0
95,4,1.118610,0.003035,58,0
95,5,1.118610,-0.003035,58,0
96,0,1.123318,0.032727,48,0
96,1,1.123318,-0.032727,48,0
96,2,1.127399,0.017145,53,0
96,3,1.127399,-0.017145,53,0
96,4,1.118610,0.003035,58,0
96,5,1.118610,-0.003035,58,0
97,0,1.123318,0.032727,48,0
97,1,1.123318,-0.032727,48,0
97,2,1.127399,0.017145,53,0
97,3,1.127399,-0.017145,53,0
97,4,1.118610,0.003035,58,0
97,5,1.118610,-0.003035,58,0
98,0,1.123318,0.032727,48,0
98,1,1.123318,-0.032727,48,0
98,2,1.127399,0.017145,53,0
98,3,1.127399,-0.017145,53,0
98,4,1.118610,0.003035,58,0
98,5,1.118610,-0.003035,58,0
99,0,1.123318,0.032727,48,0
99,1,1.123318,-0.032727,48,0
99,2,1.127399,0.017145,53,0
99,3,1.127399,-0.017145,53,0
99,4,1.118610,0.003035,58,0
99,5,1.118610,-0.003035,58,0
100,0,1.123318,0.032727,48,0
100,1,1.123318,-0.032727,48,0
100,2,1.127399,0.017145,53,0
100,3,1.127399,-0.017145,53,0
100,4,1.118610,0.003035,58,0
100,5,1.118610,-0.003035,58,0
101,0,1.123318,0.032727,48,0
101,1,1.123318,-0.032727,48,0
101,2,1.127399,0.017145,53,0
101,3,1.127399,-0.017145,53,0
101,4,1.118610,0.003035,58,0
101,5,1.118610,-0.003035,58,0
102,0,1.123318,0.032727,48,0
102,1,1.123318,-0.032727,48,0
102,2,1.127399,0.017145,53,0
102,3,1.127399,-0.017145,53,0
102,4,1.118610,0.003035,58,0
102,5,1.118610,-0.003035,58,0
103,0,1.123318,0.032727,48,0
103,1,1.123318,-0.032727,48,0
103,2,1.127399,0.017145,53,0
103,3,1.127399,-0.017145,53,0
103,4,1.118610,0.003035,58,0
103,5,1.118610,-0.003035,58,0
104,0,1.123318,0.032727,48,0
104,1,1.123318,-0.032727,48,0
104,2,1.127399,0.017145,53,0
104,3,1.127399,-0.017145,53,0
104,4,1.118610,0.003035,58,0
104,5,1.118610,-0.003035,58,0
105,0,1.123318,0.032727,48,0
105,1,1.123318,-0.032727,48,0
105,2,1.127399,0.017145,53,0
105,3,1.127399,-0.017145,53,0
105,4,1.118610,0.003035,58,0
105,5,1.118610,-0.003035,58,0
106,0,1.123318,0.032727,48,0
106,1,1.123318,-0.032727,48,0
106,2,1.127399,0.017145,53,0
106,3,1.127399,-0.017145,53,0
106,4,1.118610,0.003035,58,0
106,5,1.118610,-0.003035,58,0
107,0,1.123318,0.032727,48,0
107,1,1.123318,-0.032727,48,0
107,2,1.127399,0.017145,53,0
107,3,1.127399,-0.017145,53,0
107,4,1.118610,0.003035,58,0
107,5,1.118610,-0.003035,58,0
108,0,1.123318,0.032727,48,0
108,1,1.123318,-0.032727,48,0
108,2,1.127399,0.017145,53,0
108,3,1.127399,-0.017145,53,0
108,4,1.118610,0.003035,58,0
108,5,1.118610,-0.003035,58,0
109,0,1.123318,0.032727,48,0
109,1,1.123318,-0.032727,48,0
109,2,1.127399,0.017145,53,0
109,3,1.127399,-0.017145,53,0
109,4,1.118610,0.003035,58,0
109,5,1.118610,-0.003035,58,0
110,0,1.123318,0.032727,48,0
110,1,1.123318,-0.032727,48,0
110,2,1.127399,0.017145,53,0
110,3,1.127399,-0.017145,53,0
110,4,1.118610,0.003035,58,0
110,5,1.118610,-0.003035,58,0
111,0,1.123318,0.032727,48,0
111,1,1.123318,-0.032727,48,0
111,2,1.127399,0.017145,53,0
111,3,1.127399,-0.017145,53,0
111,4,1.118610,0.003035,58,0
111,5,1.118610,-0.003035,58,0
112,0,1.123318,0.032727,48,0
112,1,1.123318,-0.032727,48,0
112,2,1.127399,0.017145,53,0
112,3,1.127399,-0.017145,53,0
112,4,1.118610,0.003035,58,0
112,5,1.118610,-0.003035,58,0
113,0,1.123318,0.032727,48,0
113,1,1.123318,-0.032727,48,0
113,2,1.127399,0.017145,53,0
113,3,1.127399,-0.017145,53,0
113,4,1.118610,0.003035,58,0
113,5,1.118610,-0.003035,58,0
114,0,1.123318,0.032727,48,0
114,1,1.123318,-0.032727,48,0
114,2,1.127399,0.017145,53,0
114,3,1.127399,-0.017145,53,0
114,4,1.118610,0.003035,58,0
114,5,1.118610,-0.003035,58,0
115,0,1.123318,0.032727,48,0
115,1,1.123318,-0.032727,48,0
115,2,1.127399,0.017145,53,0
115,3,1.127399,-0.017145,53,0
115,4,1.118610,0.003035,58,0
115,5,1.118610,-0.003035,58,0
116,0,1.123318,0.032727,48,0
116,1,1.123318,-0.032727,48,0
116,2,1.127399,0.017145,53,0
116,3,1.127399,-0.017145,53,0
116,4,1.118610,0.003035,58,0
116,5,1.118610,-0.003035,58,0
117,0,1.123318,0.032727,48,0
117,1,1.123318,-0.032727,48,0
117,2,1.127399,0.017145,53,0
117,3,1.127399,-0.017145,53,0
117,4,1.118610,0.003035,58,0
117,5,1.118610,-0.003035,58,0
118,0,1.123318,0.032727,48,0
118,1,1.123318,-0.032727,48,0
118,2,1.127399,0.017145,53,0
118,3,1.127399,-0.017145,53,0
118,4,1.118610,0.003035,58,0
118,5,1.118610,-0.003035,58,0
119,0,1.123318,0.032727,48,0
119,1,1.123318,-0.032727,48,0
119,2,1.127399,0.017145,53,0
119,3,1.127399,-0.017145,53,0
119,4,1.118610,0.003035,58,0
119,5,1.118610,-0.003035,58,0
